4.8566 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
61.3744 	EXP 	fixation: autoDraw = False
61.3744 	EXP 	grating: autoDraw = False
61.3748 	EXP 	window1: recordFrameIntervals = False
62.3552 	EXP 	fixation: autoDraw = True
63.3574 	EXP 	fixation: autoDraw = False
63.3745 	EXP 	grating: autoDraw = True
63.3745 	EXP 	grating: tex = 'sin'
63.6741 	EXP 	grating: autoDraw = False
63.7782 	EXP 	window1: recordFrameIntervals = False
63.7804 	DATA 	Keypress: right
63.7909 	EXP 	fixation: autoDraw = False
63.7909 	EXP 	grating: autoDraw = False
63.7912 	EXP 	window1: recordFrameIntervals = False
64.7709 	EXP 	fixation: autoDraw = True
65.7737 	EXP 	fixation: autoDraw = False
65.7905 	EXP 	grating: autoDraw = True
65.7905 	EXP 	grating: tex = 'sin'
66.0904 	EXP 	grating: autoDraw = False
66.1779 	EXP 	window1: recordFrameIntervals = False
66.1802 	DATA 	Keypress: right
66.1903 	EXP 	fixation: autoDraw = False
66.1903 	EXP 	grating: autoDraw = False
66.1907 	EXP 	window1: recordFrameIntervals = False
67.1704 	EXP 	fixation: autoDraw = True
68.1736 	EXP 	fixation: autoDraw = False
68.1905 	EXP 	grating: autoDraw = True
68.1905 	EXP 	grating: tex = 'sin'
68.4901 	EXP 	grating: autoDraw = False
68.5615 	EXP 	window1: recordFrameIntervals = False
68.5637 	DATA 	Keypress: right
68.5735 	EXP 	fixation: autoDraw = False
68.5735 	EXP 	grating: autoDraw = False
68.5739 	EXP 	window1: recordFrameIntervals = False
69.5539 	EXP 	fixation: autoDraw = True
70.5564 	EXP 	fixation: autoDraw = False
70.5733 	EXP 	grating: autoDraw = True
70.5733 	EXP 	grating: tex = 'sin'
70.8731 	EXP 	grating: autoDraw = False
71.0308 	EXP 	window1: recordFrameIntervals = False
71.0345 	DATA 	Keypress: left
71.0398 	EXP 	fixation: autoDraw = False
71.0398 	EXP 	grating: autoDraw = False
71.0401 	EXP 	window1: recordFrameIntervals = False
72.0252 	EXP 	fixation: autoDraw = True
73.0397 	EXP 	fixation: autoDraw = False
73.0397 	EXP 	grating: autoDraw = True
73.0397 	EXP 	grating: tex = 'sin'
73.3395 	EXP 	grating: autoDraw = False
73.3431 	DATA 	Keypress: right
73.3602 	EXP 	window1: recordFrameIntervals = False
73.3729 	EXP 	fixation: autoDraw = False
73.3729 	EXP 	grating: autoDraw = False
73.3733 	EXP 	window1: recordFrameIntervals = False
74.3527 	EXP 	fixation: autoDraw = True
75.3561 	EXP 	fixation: autoDraw = False
75.3728 	EXP 	grating: autoDraw = True
75.3728 	EXP 	grating: tex = 'sin'
75.6725 	EXP 	grating: autoDraw = False
75.7269 	EXP 	window1: recordFrameIntervals = False
75.7291 	DATA 	Keypress: right
75.7392 	EXP 	fixation: autoDraw = False
75.7392 	EXP 	grating: autoDraw = False
75.7396 	EXP 	window1: recordFrameIntervals = False
76.7196 	EXP 	fixation: autoDraw = True
77.7223 	EXP 	fixation: autoDraw = False
77.7392 	EXP 	grating: autoDraw = True
77.7392 	EXP 	grating: tex = 'sin'
78.0388 	EXP 	grating: autoDraw = False
78.0765 	EXP 	window1: recordFrameIntervals = False
78.0787 	DATA 	Keypress: left
78.0889 	EXP 	fixation: autoDraw = False
78.0889 	EXP 	grating: autoDraw = False
78.0893 	EXP 	window1: recordFrameIntervals = False
79.0692 	EXP 	fixation: autoDraw = True
80.0719 	EXP 	fixation: autoDraw = False
80.0890 	EXP 	grating: autoDraw = True
80.0890 	EXP 	grating: tex = 'sin'
80.3886 	EXP 	grating: autoDraw = False
80.5099 	EXP 	window1: recordFrameIntervals = False
80.5122 	DATA 	Keypress: left
80.5219 	EXP 	fixation: autoDraw = False
80.5219 	EXP 	grating: autoDraw = False
80.5223 	EXP 	window1: recordFrameIntervals = False
81.5016 	EXP 	fixation: autoDraw = True
82.5046 	EXP 	fixation: autoDraw = False
82.5221 	EXP 	grating: autoDraw = True
82.5221 	EXP 	grating: tex = 'sin'
82.8213 	EXP 	grating: autoDraw = False
82.8917 	EXP 	window1: recordFrameIntervals = False
82.8937 	DATA 	Keypress: right
82.9046 	EXP 	fixation: autoDraw = False
82.9046 	EXP 	grating: autoDraw = False
82.9050 	EXP 	window1: recordFrameIntervals = False
83.8893 	EXP 	fixation: autoDraw = True
84.9061 	EXP 	fixation: autoDraw = False
84.9061 	EXP 	grating: autoDraw = True
